"Title","Authors","Description","Rating","ISBN","copies"
"Oracle 9i","Michael Abbey","Description not available","Rating not available","ISBN not available",1
"Network Management: Know It All","Adrian Farrel","Description not available","Rating not available","9788131221563",1
"Network Management: Know It All","Adrian Farrel","Description not available","Rating not available","9788131221563",1
"Network Management: Know It All","Adrian Farrel","Description not available","Rating not available","9788131221563",1
"IBM PC Assembly Language and Programming","Peter Abel","Description not available","Rating not available","9788120310377",1
"IBM PC Assembly Language and Programming","Peter Abel","Basic features of PC Hardware - Instruction addressing and execution - Examining computer memory and executing instructions - Requirements for coding in assembly language - Assembling, linking, and executing programs - Symbolic instructions and addressing - Program logic and control - Introduction to video and keyboard processing - Disk storage I : organization - Disk storage II : writing and reading files - Disk storage III : INT 21H functions for supporting disks and files - Disk storage IV : INT 13H disk functions - Facilities for printing - Defining and using macros - Linking to subprograms - Program loading and overlays - BIOS data areas, interrupts, and ports - Operators and directives - The PC instruction set.","Rating not available","ISBN not available",1
"Assembly Language Prog.For Ibm Pc Family (3Rd Ed.)","William B. Jones","This is a book on Assembly Language Programming for IBM PCs and PC Clones using the two predominant commercial assemblers, Microsoft MASM and Borland Turbo Assembler (TASM). The book also covers some of their related utility programs, particularly their interactive debuggers. Those familiar with the second edition of this book will find overall structure of this third edition quite similar.Chapter 1: PreliminariesChapter 2: Assembler OverviewChapter 3: More on I/OChapter 4: ArithmeticChapter 5: Comparing and BranchingChapter 6: SubprogramsChapter 7: Applying Assembly I: Numeric I/OChapter 8: Writing Macros and Program TestingChapter 9: Bit OperationsChapter 10: ArraysChapter 11: Applying Assembly II: Array ApplicationsChapter 12: SegmentsChapter 13: Procedures and High-Level LanguagesChapter 14: Applying Assembly III: Fancy ArithmeticChapter 15: InterruptsChapter 16: Conditional Assembly and More on MacrosChapter 17: String Processing InstructionsChapter 18: File ProcessingChapter 19: Floating PointChapter 20: 32 Bit Console and Windows Applications","Rating not available","9788177221978",1
"Assembly Language Prog.For Ibm Pc Family (3Rd Ed.)","William B. Jones","This is a book on Assembly Language Programming for IBM PCs and PC Clones using the two predominant commercial assemblers, Microsoft MASM and Borland Turbo Assembler (TASM). The book also covers some of their related utility programs, particularly their interactive debuggers. Those familiar with the second edition of this book will find overall structure of this third edition quite similar.Chapter 1: PreliminariesChapter 2: Assembler OverviewChapter 3: More on I/OChapter 4: ArithmeticChapter 5: Comparing and BranchingChapter 6: SubprogramsChapter 7: Applying Assembly I: Numeric I/OChapter 8: Writing Macros and Program TestingChapter 9: Bit OperationsChapter 10: ArraysChapter 11: Applying Assembly II: Array ApplicationsChapter 12: SegmentsChapter 13: Procedures and High-Level LanguagesChapter 14: Applying Assembly III: Fancy ArithmeticChapter 15: InterruptsChapter 16: Conditional Assembly and More on MacrosChapter 17: String Processing InstructionsChapter 18: File ProcessingChapter 19: Floating PointChapter 20: 32 Bit Console and Windows Applications","Rating not available","9788177221978",1
"Assembly Language Prog.For Ibm Pc Family (3Rd Ed.)","William B. Jones","This is a book on Assembly Language Programming for IBM PCs and PC Clones using the two predominant commercial assemblers, Microsoft MASM and Borland Turbo Assembler (TASM). The book also covers some of their related utility programs, particularly their interactive debuggers. Those familiar with the second edition of this book will find overall structure of this third edition quite similar.Chapter 1: PreliminariesChapter 2: Assembler OverviewChapter 3: More on I/OChapter 4: ArithmeticChapter 5: Comparing and BranchingChapter 6: SubprogramsChapter 7: Applying Assembly I: Numeric I/OChapter 8: Writing Macros and Program TestingChapter 9: Bit OperationsChapter 10: ArraysChapter 11: Applying Assembly II: Array ApplicationsChapter 12: SegmentsChapter 13: Procedures and High-Level LanguagesChapter 14: Applying Assembly III: Fancy ArithmeticChapter 15: InterruptsChapter 16: Conditional Assembly and More on MacrosChapter 17: String Processing InstructionsChapter 18: File ProcessingChapter 19: Floating PointChapter 20: 32 Bit Console and Windows Applications","Rating not available","9788177221978",1
"Assembly Language Prog.For Ibm Pc Family (3Rd Ed.)","William B. Jones","This is a book on Assembly Language Programming for IBM PCs and PC Clones using the two predominant commercial assemblers, Microsoft MASM and Borland Turbo Assembler (TASM). The book also covers some of their related utility programs, particularly their interactive debuggers. Those familiar with the second edition of this book will find overall structure of this third edition quite similar.Chapter 1: PreliminariesChapter 2: Assembler OverviewChapter 3: More on I/OChapter 4: ArithmeticChapter 5: Comparing and BranchingChapter 6: SubprogramsChapter 7: Applying Assembly I: Numeric I/OChapter 8: Writing Macros and Program TestingChapter 9: Bit OperationsChapter 10: ArraysChapter 11: Applying Assembly II: Array ApplicationsChapter 12: SegmentsChapter 13: Procedures and High-Level LanguagesChapter 14: Applying Assembly III: Fancy ArithmeticChapter 15: InterruptsChapter 16: Conditional Assembly and More on MacrosChapter 17: String Processing InstructionsChapter 18: File ProcessingChapter 19: Floating PointChapter 20: 32 Bit Console and Windows Applications","Rating not available","9788177221978",1
"Assembly Language Prog.For Ibm Pc Family (3Rd Ed.)","William B. Jones","This is a book on Assembly Language Programming for IBM PCs and PC Clones using the two predominant commercial assemblers, Microsoft MASM and Borland Turbo Assembler (TASM). The book also covers some of their related utility programs, particularly their interactive debuggers. Those familiar with the second edition of this book will find overall structure of this third edition quite similar.Chapter 1: PreliminariesChapter 2: Assembler OverviewChapter 3: More on I/OChapter 4: ArithmeticChapter 5: Comparing and BranchingChapter 6: SubprogramsChapter 7: Applying Assembly I: Numeric I/OChapter 8: Writing Macros and Program TestingChapter 9: Bit OperationsChapter 10: ArraysChapter 11: Applying Assembly II: Array ApplicationsChapter 12: SegmentsChapter 13: Procedures and High-Level LanguagesChapter 14: Applying Assembly III: Fancy ArithmeticChapter 15: InterruptsChapter 16: Conditional Assembly and More on MacrosChapter 17: String Processing InstructionsChapter 18: File ProcessingChapter 19: Floating PointChapter 20: 32 Bit Console and Windows Applications","Rating not available","9788177221978",1
"Advanced Graphics in C","Nelson Johnson","Graphics programming. Graphics software design. GRAPHIQ: a prototypical application. Graphics algorithms. Transformations. Edit mode. Text mode. Printing and plotting. Menu design. Locators. Parallel and serial interfacing. Maintenance modes. Graphics documentation. Using the compiler. Linking the toolkit. GRAPHIQ source code listing. GRAPHIQ command syntax. Optimizing using assembler. Making commands accessible. Television graphics.","Rating not available","ISBN not available",1
